Organisation,Country,Color,Year,Year/Month,Location,Location_Country,Price,Mission_Status,Rocket_Status,Date
SpaceX,usa,#44405a,2020,2020-08-01,"lc-39a, kennedy space center, florida, usa",usa,50.0,Success,Active,2020-08-07 05:12:00+00:00
CASC,china,#35c693,2020,2020-08-01,"site 9401 (sls-2), jiuquan satellite launch center, china",china,29.75,Success,Active,2020-08-06 04:01:00+00:00
SpaceX,usa,#44405a,2020,2020-08-01,"pad a, boca chica, texas, usa",usa,0.0,Success,Active,2020-08-04 23:57:00+00:00
Roscosmos,russian federation,#16ed9a,2020,2020-07-01,"site 200/39, baikonur cosmodrome, kazakhstan",kazakhstan,65.0,Success,Active,2020-07-30 21:25:00+00:00
ULA,usa,#44405a,2020,2020-07-01,"slc-41, cape canaveral afs, florida, usa",usa,145.0,Success,Active,2020-07-30 11:50:00+00:00
CASC,china,#35c693,2020,2020-07-01,"lc-9, taiyuan satellite launch center, china",china,64.68,Success,Active,2020-07-25 03:13:00+00:00
Roscosmos,russian federation,#16ed9a,2020,2020-07-01,"site 31/6, baikonur cosmodrome, kazakhstan",kazakhstan,48.5,Success,Active,2020-07-23 14:26:00+00:00
CASC,china,#35c693,2020,2020-07-01,"lc-101, wenchang satellite launch center, china",china,0.0,Success,Active,2020-07-23 04:41:00+00:00
SpaceX,usa,#44405a,2020,2020-07-01,"slc-40, cape canaveral afs, florida, usa",usa,50.0,Success,Active,2020-07-20 21:30:00+00:00
JAXA,japan,#4f9e66,2020,2020-07-01,"la-y1, tanegashima space center, japan",japan,90.0,Success,Active,2020-07-19 21:58:00+00:00
Northrop,usa,#44405a,2020,2020-07-01,"lp-0b, wallops flight facility, virginia, usa",usa,46.0,Success,Active,2020-07-15 13:46:00+00:00
ExPace,china,#35c693,2020,2020-07-01,"site 95, jiuquan satellite launch center, china",china,28.3,Failure,Active,2020-07-10 04:17:00+00:00
CASC,china,#35c693,2020,2020-07-01,"lc-3, xichang satellite launch center, china",china,29.15,Success,Active,2020-07-09 12:11:00+00:00
IAI,israel,#3ea041,2020,2020-07-01,"pad 1, palmachim airbase, israel",israel,0.0,Success,Active,2020-07-06 01:00:00+00:00
CASC,china,#35c693,2020,2020-07-01,"site 9401 (sls-2), jiuquan satellite launch center, china",china,29.75,Success,Active,2020-07-04 23:44:00+00:00
Rocket Lab,new zealand,#c35169,2020,2020-07-01,"rocket lab lc-1a, m?hia peninsula, new zealand",new zealand,7.5,Failure,Active,2020-07-04 21:19:00+00:00
CASC,china,#35c693,2020,2020-07-01,"lc-9, taiyuan satellite launch center, china",china,64.68,Success,Active,2020-07-03 03:10:00+00:00
SpaceX,usa,#44405a,2020,2020-06-01,"slc-40, cape canaveral afs, florida, usa",usa,50.0,Success,Active,2020-06-30 20:10:00+00:00
